dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_roc_auc,std_roc_auc
40496_LED-display-domain-7digit,0.004078197479248047,0.004227674110526361,0.0038058280944824217,0.0038290368051275975,0.9480000000000001,0.011661903789690578,0.8955555555555555,0.10967966826002727,0.6333333333333333,0.07447397410572429,0.7346031746031746,0.056774828967893744,0.9423178413346951,0.03511487030080875
40733_yeast,0.0031560420989990234,0.0016186274146233277,0.0039038658142089844,0.0038612990777291702,0.655653418816719,0.02369960870621753,0.5079263580111038,0.05376664148288703,0.2900470219435737,0.0528235904038332,0.3653988960456019,0.04733901267266897,0.7013345217258953,0.04119474121152002
40877_seeds,0.010258007049560546,0.0027765182738806837,0.0025225162506103517,0.0022818408866999624,0.8523809523809526,0.04616837959444123,0.8140522875816993,0.11699346405228758,0.7571428571428571,0.1324802642213672,0.7713339087280182,0.07586279341945026,0.9255102040816325,0.05587608262705917
40_sonar,0.004836750030517578,0.0028934731062730183,0.004249763488769531,0.003313347725992766,0.6300813008130082,0.14764458612841536,0.6775043796782928,0.18982310668143185,0.5849802371541502,0.18601027364112263,0.62001569386807,0.17460709417693746,0.6899729561056793,0.1898259976129175
43_haberman,0.0061928749084472655,0.0025369745341716475,0.0012441635131835937,0.0016557025876739856,0.7483342147012163,0.013598406821691545,0.7625752599890531,0.00947026135428384,0.9555555555555555,0.01987615979999811,0.8480782058788403,0.008481937800218182,0.6942483660130719,0.09520577850752711
44_spambase,1.1673810482025146,0.05098888956237907,0.0032642364501953127,0.0017341928703663966,0.9017537648114053,0.04041674239717044,0.9274323846922015,0.018530271267908256,0.908532653809772,0.05741354550167406,0.9172454266125918,0.036108902487932845,0.952436797149451,0.03545770998453049
450_analcatdata_lawsuit,0.009220743179321289,0.0006391105300814239,0.003003644943237305,0.0037767150221646403,0.9357039187227866,0.11037122741374213,0.9921568627450981,0.01568627450980391,0.9387755102040817,0.12244897959183672,0.959855421686747,0.07071467697207907,1.0,0.0
4538_GesturePhaseSegmentationProcessed,1.1126988410949707,0.02302935962290086,0.0017974853515625,0.0017913427612142902,0.7016095315044951,0.0055457199505574584,0.7105590062111802,0.24915344755384586,0.02033898305084746,0.01259266143797065,0.03836827596091684,0.022179370140296223,0.7089797383688337,0.09717328426835581
458_analcatdata_authorship,0.013342046737670898,0.004070668814943092,0.008283138275146484,0.0021126556173916744,0.9869188503803888,0.007898899579951697,0.9753336247086247,0.015665273283696154,0.9905257936507936,0.007736187188445218,0.9828236674742581,0.010394793277025466,0.9991566324713647,0.000493490360438595
461_analcatdata_creditscore,0.008987045288085938,0.002398008259128854,0.002498292922973633,0.0031039716538328785,0.9800000000000001,0.024494897427831803,1.0,0.0,0.9723809523809525,0.03385978825644033,0.9856960408684546,0.017537311768860125,0.9880952380952381,0.02380952380952381
463_backache,0.011870288848876953,0.0025558730362536734,0.002241086959838867,0.0021011255134804844,0.8444444444444444,0.03333333333333335,0.8713309566250743,0.014077232184188888,0.9612903225806452,0.03160631926171844,0.9139207807118254,0.01948070021126509,0.7354838709677418,0.12220655992311301
464_prnn_synth,0.0044953346252441405,0.0032428509233821423,0.0020844459533691405,0.0034446679291647185,0.86,0.04,0.8934897630549805,0.05475910101733612,0.8240000000000001,0.09991996797437439,0.8521687278006793,0.04795396180415505,0.93536,0.026106979909595047
48_tae,0.003460597991943359,0.005852091701221746,0.006211662292480468,0.003616526119190556,0.6488172043010751,0.03549755356922404,0.4809523809523809,0.10106014015148426,0.25272727272727274,0.13659374524358509,0.31065610859728504,0.1318176591050682,0.678543062200957,0.04836659995880716
53_heart-statlog,0.014618825912475587,0.0019227445395995192,0.0013339996337890625,0.0016951175502895822,0.8481481481481483,0.0074074074074073955,0.8473252688172043,0.009865756202660858,0.8866666666666667,0.01632993161855452,0.8664057817733124,0.007169585302546276,0.8908333333333334,0.028768445505277546
54_vehicle,0.013530111312866211,0.002197996749907538,0.0056708335876464845,0.002523997589760287,0.9527323355377654,0.01343272787910819,0.909407158396036,0.04029649997452845,0.908245243128964,0.01441125590039682,0.9085012337406848,0.025110632443618157,0.9880768415047484,0.005637712481812587
59_ionosphere,0.006023263931274414,0.0034887100691402555,0.0018164157867431641,0.0036328315734863287,0.8519517102615695,0.04619157419381896,0.8342638915595678,0.050747777062399385,0.9644444444444444,0.017777777777777753,0.8938360872467015,0.0309193896697853,0.8780239316239316,0.06293066182571945
60_waveform-5000,1.1164658546447754,0.015703517378836032,0.0028066635131835938,0.0015386667912780263,0.8526,0.011001818031580063,0.7691622180181784,0.017709152697011715,0.8067322965212685,0.01544440302124574,0.7874492438972303,0.015457236450493376,0.9278883147259134,0.0063447413999749855
61_iris,0.004160451889038086,0.004975717405023285,0.0049609184265136715,0.003496108756306004,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
679_rmftsa_sleepdata,0.006141185760498047,0.004697809965193658,0.0019047260284423828,0.0035922900865906003,0.5547537063605931,0.05432816615129944,0.4397782397782398,0.3025201193782155,0.12108024691358024,0.11663774218492333,0.1529646293773978,0.11158120687259328,0.596946186778176,0.09104087543642259
694_diggle_table_a2,0.012019062042236328,0.003632062810818287,0.0,0.0,0.8064516129032258,0.1927402483392214,0.23720930232558138,0.38814225200046637,0.4,0.48989794855663565,0.2627450980392157,0.3881362519736038,0.9333333333333333,0.13333333333333333
AedesQuinx,1.2369829654693603,0.023585615668998593,0.007072639465332031,0.002218888935741215,0.7957916666666667,0.06635152074787401,0.7924368236301527,0.048061211428014144,0.8028333333333334,0.14742757167127488,0.7905816991945851,0.0881593767949802,0.8735439930555555,0.0528374448871941
AedesSex,1.2360993385314942,0.029308049061496474,0.0042536258697509766,0.001989517412920014,0.9762083333333333,0.010617562756531675,0.9818285440238865,0.0076542363211502,0.9703333333333333,0.014321215808101731,0.9760294459330812,0.010775700120477424,0.983875,0.004406852310039859
anuranCalls,0.026022911071777344,0.004980689316997942,0.0020782947540283203,0.0020675410312302037,0.8331055429005316,0.22105579818413373,0.9190207504012422,0.1223502920626454,0.7902714932126698,0.2934325470201002,0.8302805771372672,0.2435302421591978,0.8658167264063202,0.18847497199214858
ArabicDigit,1.1546872138977051,0.012501236217565352,0.003763580322265625,0.00113656873512005,0.9875,0.001295653892158121,0.9855608835308505,0.005438136039152871,0.9895454545454545,0.003082877265056955,0.9875307902650718,0.0012357725052626939,0.9992466425619835,0.00015701672241655323
